constituency_id,constituency_name,district_id,candidate_name,votes,percentage,gender,total_registered,banned_votes,votes_cast
106,Kasungu South West,12,IND – Alex Chakwanila Major,2409,11.52,1,31293,354,20908
107,Kasungu West,12,IND – Brian S.C. Mwale,6380,39.62,1,40680,0,16104
107,Kasungu West,12,DPP – Paul Sunganani Gadama,4098,25.45,1,40680,0,16104
108,Likoma Islands,13,DPP – Charles Chilambula,3172,46.22,1,8664,68,6863
108,Likoma Islands,13,MCP – Ashems Christopher Songwe,2458,35.82,1,8664,68,6863
109,Lilongwe Bunda,14,MCP – Maria Kambuzi,12689,47.08,0,39829,479,26952
109,Lilongwe Bunda,14,IND – Edgar Beonface Chipalanjira,6858,25.45,1,39829,479,26952
110,Lilongwe Central,14,MCP – Jimion Nyanda,12219,42.17,1,44189,697,28978
110,Lilongwe Central,14,IND – Patrick Nathan Nangwale,7868,27.15,1,44189,697,28978
112,Lilongwe Chiwamba,14,MCP – Winston Kaimapanjira,26474,63.94,1,55070,736,41402
112,Lilongwe Chiwamba,14,IND – Ashan Christopher Kapulula,10409,25.14,1,55070,736,41402
113,Lilongwe City Bwaila,14,MCP – Precious Pempho Gama Kabambe,8199,31.26,1,36249,485,26230
113,Lilongwe City Bwaila,14,DPP – Mike Chimzukira,7974,30.4,1,36249,485,26230
115,Lilongwe City Centre,14,UTM – Stella Thandie Warren,32000,95.58,0,46800,663,33480
115,Lilongwe City Centre,14,MCP – Gift Nankhuni,15002,44.81,1,46800,663,33480
116,Lilongwe City Chipala Nafisi,14,DPP – Frtank Kingsley Chimwaza,8117,34.36,1,32199,367,23623
116,Lilongwe City Chipala Nafisi,14,MCP – Esther Salimu,6999,29.63,0,32199,367,23623
117,Lilongwe City Dzenza,14,MCP – Jonathan Kabulanda Mfune,8714,33.3,1,35451,351,26167
117,Lilongwe City Dzenza,14,DPP – Andrew Chiyamiko Chikwakwa,6096,23.3,1,35451,351,26167
118,Lilongwe City Kamphuno,14,IND – Khadija Leah Chunga,6020,26.28,0,32473,503,22911
118,Lilongwe City Kamphuno,14,DPP – Clement Chancy Mwale,5838,25.48,1,32473,503,22911
119,Lilongwe City Lumbadzi,14,MCP – Denis Chalera Kalekeni,9426,34.17,1,39506,647,27585
119,Lilongwe City Lumbadzi,14,IND – Paul Mekani,7443,26.98,1,39506,647,27585
121,Lilongwe City Masintha,14,MCP – Juliana Kaduya,6000,22.39,0,34962,411,26795
121,Lilongwe City Masintha,14,DPP – Fackson Chipapa Walapa,5129,19.14,1,34962,411,26795
122,Lilongwe City Mlodza,14,MCP – Ulemu Msungama,6911,29.48,1,30751,273,23446
122,Lilongwe City Mlodza,14,IND – Richard Banda,5139,21.92,1,30751,273,23446
123,Lilongwe City Mtandire Mtsiriza,14,DPP – Alfred Ruwani Gangata,12289,44.56,1,37617,445,27578
123,Lilongwe City Mtandire Mtsiriza,14,MCP – George Charles Zulu,12284,44.54,1,37617,445,27578
124,Lilongwe City Nankhaka,14,DPP – Patricia Wiskes,6582,32.81,0,26981,280,20063
124,Lilongwe City Nankhaka,14,MCP – Alfred Nkhoma Jiya,5860,29.21,1,26981,280,20063
125,Lilongwe City Ngwenya,14,MCP – Nancy Gladys Tembo,8144,37.4,0,31093,551,21775
125,Lilongwe City Ngwenya,14,DPP – Edward Makaiko Mvoliwa,8042,36.93,1,31093,551,21775
131,Lilongwe Demera,14,MCP – Monica Amon Chang’anamuno,15969,38.95,0,51447,651,40995
131,Lilongwe Demera,14,IND – Yamiko Joseph Chibwe,9724,23.72,1,51447,651,40995
132,Lilongwe East,14,IND – Young Aubrey Nasson Phiri,11405,58.4,1,25453,587,19528
132,Lilongwe East,14,MCP – Ezekiel Peter Ching’oma,6692,34.27,1,25453,587,19528
134,Lilongwe Likuni,14,IND – Kelvin Mphande,18649,64.36,1,44189,697,28978
134,Lilongwe Likuni,14,MCP – Jean Muonaowuza Sendeza,11250,38.82,0,44189,697,28978
135,Lilongwe Machenga,14,MCP – Marko Ezra Banda Ching’onga,11273,48.23,1,34470,448,23375
135,Lilongwe Machenga,14,IND – Gladwell Mphatso Majekete,8263,35.35,1,34470,448,23375
136,Lilongwe Mapuyu North,14,IND – Mcandrews Mtanga Maunda,20234,52.93,1,52089,801,38225
136,Lilongwe Mapuyu North,14,MCP – Horace Levas Chipuwa,7450,19.49,1,52089,801,38225
137,Lilongwe Mapuyu South,14,MCP – Edward Chileka Banda,13557,42.84,1,44940,499,31644
137,Lilongwe Mapuyu South,14,IND – Catherine Gollen Majamanda,12579,39.75,0,44940,499,31644
138,Lilongwe Mpenu,14,MCP – Eisenhower Nduwa-Saxon Mkaka,9071,38.92,1,34125,470,23307
138,Lilongwe Mpenu,14,DPP – David Kambalame,5736,24.61,1,34125,470,23307
142,Lilongwe Msinja North,14,MCP – Bintony Kutsaira,11570,49.88,1,36273,532,23197
142,Lilongwe Msinja North,14,IND – Vanwyk Khobidi Mbubzi Chikasanda,11419,49.23,1,36273,532,23197
143,Lilongwe Msinja South,14,MCP – Francis Chikumbutso Belekanyama,15132,53.13,1,43351,625,28483
143,Lilongwe Msinja South,14,IND – Onyx Msachiwa,11185,39.27,1,43351,625,28483
144,Lilongwe Msozi,14,MCP – Sosten Alfred Gwengwe,19054,65.46,1,37074,627,29107
144,Lilongwe Msozi,14,IND – Liana Chapota,9377,32.22,0,37074,627,29107
147,Lilongwe Mude,14,MCP – Mphatso Jones Botiphiri,32079,73.24,1,54205,881,43801
147,Lilongwe Mude,14,IND – Judith Zaina Nkhwangwi,9113,20.81,0,54205,881,43801
148,Lilongwe Nkhoma,14,IND – Pilirani Kaphagawani Buleya,10732,51.75,0,36724,606,20739
148,Lilongwe Nkhoma,14,MCP – Collins John Fletcher Kajawa,8042,38.78,1,36724,606,20739
152,Lilongwe Nyanja,14,MCP – Steven Baba Malondera Kamsiyamo,20921,75.61,1,35295,667,27668
152,Lilongwe Nyanja,14,IND – Willard Alfred Gwengwe,6048,21.86,1,35295,667,27668
153,Lilongwe Phirilanjuzi,15,MCP – Peter Dimba,11048,44.15,1,38804,548,25024
153,Lilongwe Phirilanjuzi,15,IND – Damiano Kamtsekero,9109,36.4,1,38804,548,25024
159,Machinga Central,16,DPP – Samuel Malume Bokosi,10461,50.42,1,25881,243,20746
159,Machinga Central,16,IND – Imran Cassim,7437,35.85,1,25881,243,20746
160,Machinga Central East,16,DPP – Daudi Al Deen Chikwanje,14795,59.49,1,30496,437,24868
160,Machinga Central East,16,UTM – Patrick Abdulazizi Kapolo,8097,32.56,1,30496,437,24868
161,Machinga East,16,UDF – Esther Jolobala,15766,57.58,0,33928,551,27380
161,Machinga East,16,DPP – Fezile Kadawati,8098,29.58,1,33928,551,27380
162,Machinga Likwenu,16,UDF – Tulinje Muluzi,7728,36.54,1,26344,245,21152
162,Machinga Likwenu,16,DPP – Bright Msaka,5116,24.19,1,26344,245,21152
163,Machinga Mikoko,16,DPP – Jaffalie Mussa,5438,22.84,1,29665,642,23804
163,Machinga Mikoko,16,IND – Ibrahim Rajab Ojess,4388,18.43,1,29665,642,23804
165,Machinga North East,16,IND – Tailos Abdul Majid Bakili,9013,32.04,1,36344,633,28132
165,Machinga North East,16,DPP – Sharie Mapasa,8616,30.63,1,36344,633,28132
167,Machinga South,16,DPP – Richard Shukurani Kalitendere,11824,43.39,1,33931,422,27252
167,Machinga South,16,UDF – Grant Hassan Ndecha,6222,22.83,1,33931,422,27252
168,Machinga South East,16,IND – Donnex Poison Mpuzeni,7703,26.55,1,36587,705,29017
168,Machinga South East,16,IND – Sherief Jerald Mponda,5112,17.62,1,36587,705,29017
170,Mangochi Central,17,DPP – Roza Madaro Mbilizi,11802,46.78,0,33149,369,25227
170,Mangochi Central,17,IND – Victoria Kingstone,9629,38.17,0,33149,369,25227
171,Mangochi East,17,IND – Jackson Allie Daud Mataka,5893,25.11,1,33243,493,23468
171,Mangochi East,17,UDF – Abubakar Ali Mbaya,5529,23.56,1,33243,493,23468
172,Mangochi Lutende,17,PP – Edrissa Pongolani Kazembe,3900,17.42,1,27777,467,22384
172,Mangochi Lutende,17,UTM – Isaac Kazembe,1135,5.07,1,27777,467,22384
173,Mangochi Malombe,17,DPP – Kazembe Wilson Ngunga,8843,42.48,1,28027,543,20819
173,Mangochi Malombe,17,UTM – Dharban Keneth Chibwana,6035,28.99,1,28027,543,20819
174,Mangochi Masongola,17,DPP – Ishmael Grant Rashid,10708,36.92,1,37834,624,29003
